regional,sigla_estados_regional,provincia_eclesiastica,papel_na_provincia,tipo_circunscricao,circunscricao,ano_criacao,url_cnbb_regional,fonte_wikipedia,estado,municipio_sede,regiao,bairro,endereco,nome_da_igreja_paroquia,cnpj,canal_de_doacoes,contato,nome_do_paroco
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Alagoinhas,1974,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Itabuna,1978,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Eunápolis,1996,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Camaçari,2010,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Cruz das Almas,2017,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Aracaju,sede metropolitana,Arquidiocese,Arquidiocese de Aracaju,1960,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Aracaju,sufragânea,Diocese,Diocese de Estância,1960,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Aracaju,sufragânea,Diocese,Diocese de Propriá,1960,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Vitória da Conquista,sede metropolitana,Arquidiocese,Arquidiocese de Vitória da Conquista,2002,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Vitória da Conquista,sufragânea,Diocese,Diocese de Caetité,1913,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Vitória da Conquista,sufragânea,Diocese,Diocese de Bom Jesus da Lapa,1962,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Vitória da Conquista,sufragânea,Diocese,Diocese de Livramento de Nossa Senhora,1967,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Vitória da Conquista,sufragânea,Diocese,Diocese de Jequié,1978,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sede metropolitana,Arquidiocese,Arquidiocese de Feira de Santana,2002,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sufragânea,Diocese,Diocese de Barra,1913,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sufragânea,Diocese,Diocese de Bonfim,1933,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sufragânea,Diocese,Diocese de Ruy Barbosa,1959,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sufragânea,Diocese,Diocese de Juazeiro,1962,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sufragânea,Diocese,Diocese de Paulo Afonso,1971,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sufragânea,Diocese,Diocese de Barreiras,1979,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sufragânea,Diocese,Diocese de Irecê,1980,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Feira de Santana,sufragânea,Diocese,Diocese de Serrinha,2005,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste IV,PI,Província Eclesiástica de Teresina,sede metropolitana,Arquidiocese,Arquidiocese de Teresina,1952,https://www.cnbb.org.br/nordeste-4/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste IV,PI,Província Eclesiástica de Teresina,sufragânea,Diocese,Diocese de Oeiras,1944,https://www.cnbb.org.br/nordeste-4/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste IV,PI,Província Eclesiástica de Teresina,sufragânea,Diocese,Diocese de Parnaíba,1944,https://www.cnbb.org.br/nordeste-4/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste IV,PI,Província Eclesiástica de Teresina,sufragânea,Diocese,Diocese de Picos,1974,https://www.cnbb.org.br/nordeste-4/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste IV,PI,Província Eclesiástica de Teresina,sufragânea,Diocese,Diocese de Campo Maior,1976,https://www.cnbb.org.br/nordeste-4/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste IV,PI,Província Eclesiástica de Teresina,sufragânea,Diocese,Diocese de São Raimundo Nonato,1981,https://www.cnbb.org.br/nordeste-4/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste IV,PI,Província Eclesiástica de Teresina,sufragânea,Diocese,Diocese de Bom Jesus do Gurgueia,1981,https://www.cnbb.org.br/nordeste-4/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste IV,PI,Província Eclesiástica de Teresina,sufragânea,Diocese,Diocese de Floriano,2008,https://www.cnbb.org.br/nordeste-4/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sede metropolitana,Arquidiocese,Arquidiocese de São Luís do Maranhão,1922,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Caxias do Maranhão,1939,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Zé Doca,1951,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Viana (Brasil),1962,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Bacabal,1968,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Brejo,1971,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Coroatá,1977,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Pinheiro,1979,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Carolina,1979,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Balsas,1981,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Grajaú,1984,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Imperatriz,1987,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sede metropolitana,Arquidiocese,Arquidiocese do Rio de Janeiro,1892,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Barra do Piraí-Volta Redonda,1922,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Valença,1925,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Nova Iguaçu,1960,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Itaguaí,1980,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Duque de Caxias,1980,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sede metropolitana,Arquidiocese,Arquidiocese de Niterói,1960,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sufragânea,Diocese,Diocese de Campos,1922,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sufragânea,Diocese,Diocese de Petrópolis,1946,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sufragânea,Diocese,Diocese de Nova Friburgo,1960,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sufragânea,Administração Apostólica,Administração Apostólica Pessoal São João Maria Vianney,2002,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Mariana,sede metropolitana,Arquidiocese,Arquidiocese de Mariana,1906,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Mariana,sufragânea,Diocese,Diocese de Caratinga,1915,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Mariana,sufragânea,Diocese,Diocese de Governador Valadares,1956,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Mariana,sufragânea,Diocese,Diocese de Itabira-Fabriciano,1965,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sede metropolitana,Arquidiocese,Arquidiocese de Diamantina,1917,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sufragânea,Diocese,Diocese de Araçuaí,1913,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sufragânea,Diocese,Diocese de Teófilo Otoni,1960,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sufragânea,Diocese,Diocese de Almenara,1981,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sufragânea,Diocese,Diocese de Guanhães,1985,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Belo Horizonte,sede metropolitana,Arquidiocese,Arquidiocese de Belo Horizonte,1924,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Belo Horizonte,sufragânea,Diocese,Diocese de Luz,1918,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Belo Horizonte,sufragânea,Diocese,Diocese de Oliveira,1941,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Belo Horizonte,sufragânea,Diocese,Diocese de Sete Lagoas,1955,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Belo Horizonte,sufragânea,Diocese,Diocese de Divinópolis,1958,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
